latitude;price;bathrooms;Součet hodnot: accommodates;Součet hodnot: beds;Součet hodnot: host_response_rate;Součet hodnot: bedrooms;longitude
-22.98974656501796;$342.00;1;16;3;1;1;-43.23163756261467
-22.9897839571136;$1,397.00;5,5;16;16;0,73;4;-43.25734702711943
-22.990641559309918;$150.00;8;16;16;0;10;-43.24073990423311
-22.991762060081335;$342.00;1;16;3;1;1;-43.23313205691608
-22.991891837610808;$342.00;1;16;2;1;1;-43.23250245765704
-22.993801540330054;$61.00;2;16;16;0,5;10;-43.52826157379191
-22.994369546494692;$591.00;3;16;20;1;3;-43.40794216769796
-22.994874511369936;$1,712.00;6;16;12;1;5;-43.542207940311634
-22.99530195093518;$106.00;2;16;15;0,4;1;-43.24310343331344
-22.996014569116408;$2,001.00;6;16;8;0,94;5;-43.408822620454956
-22.99614212052232;$2,001.00;6;16;16;1;6;-43.2710506894873
-22.99653109176842;$65.00;5;16;8;1;7;-43.24031073944573
-22.996578047870432;$3,415.00;7;16;8;1;5;-43.508453320554715
-22.996770176712083;$1,602.00;5;16;16;0,57;8;-43.27466954315495
-22.99719786679599;$1,695.00;6,5;16;1;1;5;-43.41277101468411
-22.99759998655544;$6,000.00;4,5;16;5;0;4;-43.38500830900171
-22.997687616294844;$5,502.00;7;16;18;0,7;4;-43.41976199613926
-22.997773347150527;$89.00;3;16;3;1;1;-43.385097467692994
-22.997801793040555;$55.00;7;16;16;0,8;1;-43.270605524194366
-22.997862949142466;$2,198.00;7;16;16;0,78;6;-43.4140736500869
-22.998190447871753;$3,415.00;5,5;16;11;0,7;8;-43.27496511705716
-22.99823869809321;$2,500.00;7;16;11;0,8;5;-43.32430411539739
-22.998318467083948;$700.00;5,5;16;10;1;5;-43.38119276616628
-22.99856337361831;$1,499.00;8;16;12;1;5;-43.414397466131916
-22.99864320925434;$1,499.00;5,5;16;16;1;5;-43.38224846124399
-22.99884039047592;$850.00;8;16;14;1;6;-43.32914023686698
-22.998866140946188;$120.00;8;16;30;0,8;7;-43.269845162395455
-22.999048072907005;$89.00;3;16;1;1;1;-43.3828760980111
-22.999364400936592;$9,999.00;3,5;16;8;0,33;5;-43.36477625112831
-22.999384932554136;$6,830.00;14;16;16;0,97;11;-43.27391610467553
-22.99973604416463;$6,000.00;11,5;16;16;0,67;10;-43.27320185589499
-23.000581918301794;$1,998.00;5;16;15;0,8;5;-43.32687887084711
-23.001077867446167;$2,998.00;6;16;8;0,81;8;-43.275067905599705
-23.001938922304284;$1,499.00;8;16;16;0,9;8;-43.41549267988057
-23.00206938217807;$61.00;4;16;16;1;1;-43.30983487606299
-23.002158279335344;$62.00;1;16;1;0,6;1;-43.308580696106866
-23.002202197259148;$3,900.00;8;16;10;0,7;7;-43.391138276089066
-23.002277184503047;$79.00;4;16;20;1;1;-43.30959402808024
-23.003577112265983;$3,750.00;10;16;45;0,86;11;-43.3829691921784
-23.004088570582656;$5,000.00;7,5;16;6;0,44;6;-43.38821934678416
-23.004102643493727;$3,801.00;7,5;16;7;0,5;5;-43.511522398497995
-23.00438545746732;$5,123.00;7;16;10;0;6;-43.380350817015334
-23.00444893934405;$4,366.00;10,5;16;35;1;11;-43.38295708667579
-23.00466381922655;$5,700.00;6;16;1;0;8;-43.395457873717994
-23.006035819997923;$699.00;9,5;16;18;0,67;7;-43.63293467137213
-23.00751328025312;$12,499.00;3;16;10;0;4;-43.3232672404736
-23.009633770343534;$3,500.00;8;16;16;0,89;8;-43.32133521388435
-23.01038414825199;$1,500.00;3,5;16;6;1;5;-43.54179432547407
-23.01080818196279;$1,199.00;9;16;16;1;5;-43.42324310607639
-23.010861070559706;$1,807.00;5;16;14;1;4;-43.29867442955213
-23.011664914725273;$2,000.00;5,5;16;14;0,81;7;-43.291271818778306
-23.011723969009847;$65.00;3;16;16;1;1;-43.46877660508864
-23.012225743780434;$281.00;3;16;1;0,88;6;-43.32184560921377
-23.012600646163072;$5,000.00;3;16;2;1;2;-43.47883341899523
-23.012674062985877;$700.00;5;16;7;1;5;-43.45102560986918
-23.015339533490184;$5,293.00;4,5;16;8;1;6;-43.295602176195956
-23.016394643580902;$379.00;5;16;13;0,8;5;-43.48455818090518
-23.017532333052692;$499.00;6;16;7;1;5;-43.45130865330214
-23.020190736264563;$601.00;5;16;15;0,68;6;-43.519644198558915
-23.023578647546604;$1,599.00;4,5;16;10;0,9;3;-43.50213605514417
-23.023623443585418;$41.00;2;16;16;0,7;1;-43.48307890350478
-23.02364503975506;$44.00;2;16;19;0,8;1;-43.48305203517125
-23.027833085288208;$68.00;4;16;16;1;1;-43.479107662207156
-23.02933563295703;$55.00;4;16;20;1;1;-43.47440264902869
-23.030664387739446;$130.00;8;16;16;0,5;1;-43.477371873604795
-23.031009033899284;$68.00;5;16;16;1;1;-43.48420323448299
-23.03143733422475;$700.00;1;16;16;0,5;3;-43.47924359978582
-23.060588879372894;$62.00;3,5;16;16;0,5;1;-43.562506879233645
-23.061560317332408;$62.00;4;16;16;0,5;1;-43.56327955896376
-23.072622045892697;$699.00;5;16;16;1;7;-43.567277534482166
-22.93266270294898;$1,499.00;6,5;15;8;0,5;7;-43.198003247094384
-22.939127774486263;$799.00;3,5;15;3;0;3;-43.379444651357545
-22.949043819149143;$48.00;1;15;15;1;1;-43.38289787657583
-22.951786409778663;$38.00;2;15;1;0,8;1;-43.18701213915955
-22.960127557789484;$3,500.00;2;15;2;1;2;-43.37854627596361
-22.960438663996012;$3,500.00;2;15;2;1;2;-43.37639963611598
-22.961228662190756;$1,171.00;3,5;15;13;0,7;6;-43.17464368828419
-22.962107686357978;$1,001.00;3;15;9;0,9;5;-43.17764957122412
-22.96300835063036;$4,198.00;15;15;6;0,81;5;-43.274474922728075
-22.963255372175094;$1,199.00;3;15;6;1;5;-43.20294899637238
-22.963959911622677;$1,151.00;2;15;9;1;4;-43.17609811800521
-22.965259596144495;$902.00;2;15;10;0,92;4;-43.174290180069306
-22.965439109653932;$601.00;2;15;8;1;4;-43.176294159096045
-22.965639642411237;$956.00;2;15;16;0,3;4;-43.174976482671156
-22.965691795963213;$856.00;2;15;10;0,3;4;-43.174531957601715
-22.96590668845657;$699.00;3;15;9;1;3;-43.18930893643423
-22.966325864650504;$601.00;4;15;10;0,83;4;-43.17729294983547
-22.966758473415233;$85.00;2;15;12;1;4;-43.1889907179106
-22.96729721731987;$567.00;3;15;5;1;4;-43.17603630121523
-22.967406412303465;$376.00;2;15;5;1;3;-43.180500195742404
-22.97061443153177;$51.00;3;15;15;1;3;-43.494846229895714
-22.970648558685824;$622.00;3;15;7;1;3;-43.49544265536361
-22.971689104548283;$980.00;3;15;12;1;4;-43.183908677069056
-22.97543748429682;$4,084.00;4;15;10;0,9;5;-43.23608657180539
-22.975725015751806;$6,000.00;5;15;7;0,9;6;-43.234196267803725
-22.975901144037135;$400.00;3;15;11;1;4;-43.190590657414475
-22.977748831518884;$365.00;2;15;7;1;3;-43.19096338770617
-22.978767399744356;$2,001.00;6;15;7;0,83;6;-43.190267389859066
-22.980403289098053;$881.00;5;15;9;1;5;-43.19029646356237
-22.980608303423935;$1,100.00;4;15;16;0,6;4;-43.19079945080863
-22.9816546658852;$1,373.00;4,5;15;8;1;6;-43.235118155720855
-22.982730023357263;$1,291.00;4,5;15;8;1;5;-43.191735111763165
-22.983695620778047;$901.00;5;15;10;1;5;-43.54846219672815
-22.98428789053289;$2,998.00;7;15;8;0;6;-43.3027771115546
-22.9846367172154;$3,500.00;6;15;8;0,81;4;-43.299694891107876
-22.98511644188596;$400.00;3;15;10;0,9;3;-43.19913964693596
-22.99010087346578;$2,397.00;6;15;8;0,81;5;-43.441622989112105
-22.994519170675186;$68.00;4;15;15;0;1;-43.238140782949586
-23.000939595804013;$120.00;4;15;15;1;1;-43.30954120013165
-23.00112896893522;$331.00;3;15;9;1;3;-43.3585037373101
-23.00261584117934;$6,198.00;7,5;15;8;0,8;6;-43.38031377545276
-23.003598708593614;$120.00;3;15;6;0;4;-43.63001727614988
-23.00383613662606;$6,830.00;7,5;15;8;0,81;6;-43.36650159433896
-23.00392414300819;$401.00;2,5;15;7;1;2;-43.635741829799414
-23.004034093582366;$6,000.00;5,5;15;8;0,81;4;-43.419418995719255
