Latitude,Longitude,VIC_AGE_GROUP,Součet hodnot: Community Districts,OCCUR_TIME,PERP_AGE_GROUP
40.638196,-73.913105,25-44,5,1899-12-30 20:02:00,18-24
40.638196,-73.913105,25-44,5,1899-12-30 20:02:00,25-44
40.638659,-74.022462,18-24,10,1899-12-30 14:03:00,25-44
40.638698,-73.946819,18-24,61,1899-12-30 23:00:00,(null)
40.638977,-74.171252,18-24,4,1899-12-30 19:26:00,<18
40.639114,-73.97885,25-44,2,1899-12-30 11:10:00,(null)
40.639296,-73.99843,25-44,2,1899-12-30 01:45:00,(null)
40.639549,-73.893941,18-24,5,1899-12-30 14:18:00,<18
40.639779,-73.951792,25-44,61,1899-12-30 23:28:00,<18
40.639779,-73.951792,25-44,61,1899-12-30 23:28:00,18-24
40.640047,-74.086119,25-44,4,1899-12-30 00:29:00,25-44
40.640255,-73.944083,25-44,61,1899-12-30 21:18:00,(null)
40.6403,-73.956676,25-44,60,1899-12-30 06:17:00,25-44
40.640407,-73.949435,25-44,61,1899-12-30 14:47:00,(null)
40.640559,-73.954766,<18,60,1899-12-30 20:54:00,18-24
40.64094117,-73.96050106,45-64,60,1899-12-30 19:57:00,18-24
40.641509,-74.083128,18-24,4,1899-12-30 00:41:00,25-44
40.641509,-74.083128,25-44,4,1899-12-30 00:41:00,25-44
40.641509,-74.083128,45-64,4,1899-12-30 00:41:00,25-44
40.642107,-74.080674,25-44,4,1899-12-30 18:10:00,25-44
40.642851,-73.958581,45-64,60,1899-12-30 00:20:00,(null)
40.643321,-74.010383,18-24,9,1899-12-30 09:05:00,25-44
40.6436045,-73.94299775,18-24,61,1899-12-30 10:50:00,(null)
40.644339,-73.879059,18-24,45,1899-12-30 20:53:00,(null)
40.644458,-73.90854,18-24,10,1899-12-30 03:46:00,(null)
40.644458,-73.90854,25-44,20,1899-12-30 03:46:00,(null)
40.644696,-74.097213,45-64,4,1899-12-30 03:15:00,(null)
40.645056,-74.104773,<18,4,1899-12-30 18:12:00,<18
40.645056,-74.104773,<18,4,1899-12-30 18:12:00,18-24
40.645056,-74.104773,18-24,4,1899-12-30 18:12:00,<18
40.645056,-74.104773,18-24,4,1899-12-30 18:12:00,18-24
40.64596,-73.950029,18-24,61,1899-12-30 03:30:00,25-44
40.646331,-73.896533,25-44,5,1899-12-30 17:00:00,(null)
40.64659,-73.925455,25-44,61,1899-12-30 18:15:00,18-24
40.646674,-73.954492,25-44,61,1899-12-30 02:48:00,25-44
40.646743,-73.959318,18-24,60,1899-12-30 21:15:00,18-24
40.647119,-74.088178,<18,4,1899-12-30 18:08:00,<18
40.647321,-73.896997,25-44,5,1899-12-30 05:39:00,25-44
40.647813,-73.961804,25-44,60,1899-12-30 00:25:00,(null)
40.647818,-73.956943,25-44,60,1899-12-30 22:38:00,(null)
40.648249,-73.91234,25-44,61,1899-12-30 13:10:00,18-24
40.6486135510607,-73.9052572032302,25-44,5,1899-12-30 06:45:00,(null)
40.6486135510607,-73.9052572032302,25-44,5,1899-12-30 22:06:00,45-64
40.648673,-73.892913,25-44,5,1899-12-30 08:45:00,25-44
40.648673,-73.892913,25-44,5,1899-12-30 12:16:00,18-24
40.648786,-73.896717,18-24,10,1899-12-30 20:23:00,25-44
40.6488507469884,-73.951016510623,<18,122,1899-12-30 19:49:00,18-24
40.6488507469884,-73.951016510623,18-24,122,1899-12-30 19:49:00,18-24
40.649363,-73.960873,25-44,60,1899-12-30 17:45:00,25-44
40.649363,-73.960873,25-44,60,1899-12-30 22:50:00,25-44
40.649656,-73.893382,25-44,5,1899-12-30 20:12:00,(null)
40.64976,-73.89716,25-44,5,1899-12-30 20:50:00,(null)
40.650402,-73.963258,25-44,60,1899-12-30 21:05:00,(null)
40.650921,-73.930294,25-44,61,1899-12-30 07:14:00,25-44
40.651036,-73.945238,45-64,122,1899-12-30 00:25:00,25-44
40.651524,-73.883095,18-24,45,1899-12-30 17:26:00,18-24
40.65217,-73.949719,25-44,61,1899-12-30 01:42:00,(null)
40.65231392,-73.9560111,25-44,60,1899-12-30 19:10:00,<18
40.65231392,-73.9560111,25-44,60,1899-12-30 19:10:00,18-24
40.652667,-73.896736,18-24,5,1899-12-30 00:56:00,(null)
